Portfolio_ID,US_Equity,International,Emerging_Markets,Bonds,Real_Estate,Expected_Return_Annual,Volatility_Annual,VaR_95_5Year,VaR_95_Annual,Prob_Exceed_60pct,Mean_Return,Std_Dev_Return,Min_Return,Max_Return,P1,P5,P10,P25,P50,P75,P90,P95,P99
1,0.236696247477351,0.03653813933017054,0.11617279240032499,0.0027310670069309938,0.6078617537852226,0.09514838426946975,0.15804809824505683,0.5979406574543542,0.09827760854547463,0.921,0.6090143410466508,0.006683581243510012,0.589113785769249,0.6291083347146038,0.5925357795056707,0.5979406574543542,0.6008004872886576,0.6046040322683186,0.6089810506441278,0.6134865676357636,0.6176225227798952,0.6200112147409506,0.6242613228391137
2,0.21726704567223265,0.07728594126922453,0.18988559914090467,0.512176616624026,0.003384797293611982,0.07387186268716375,0.1018148181777214,0.43848755171941445,0.07542770768333606,0.0,0.44669341986696864,0.004921274053856854,0.42911795033172284,0.4636485682670437,0.43559986975073894,0.43848755171941445,0.4403686394341591,0.4433067753091315,0.44689228506726775,0.4499374756121107,0.4530727120953363,0.45463555093045543,0.45820689951721083
3,0.05109480823540571,0.004293978944959727,0.4035577597143488,0.40430897724656,0.13674447585872562,0.08240598809911757,0.13680010861413514,0.4974702683142273,0.08410573450752046,0.0,0.5097380908274989,0.007592110168130144,0.48478014239497513,0.5336515838296398,0.4927214510027531,0.4974702683142273,0.5001123475369426,0.504434433064658,0.50988083825313,0.5151386153776416,0.5195404183116865,0.5218375320876014,0.527375208529384
4,0.2658043226308688,0.41924355422157006,0.2775852121753852,0.035215484620506596,0.0021514263516693648,0.09801297672277053,0.1941896793613305,0.6151059247653418,0.10062710027453425,1.0,0.632530032480465,0.010457971702493657,0.6042695629925909,0.6719979861354921,0.6091429885978447,0.6151059247653418,0.6194340638590977,0.6253245670127626,0.6323483769091658,0.640004627636345,0.645701057922749,0.6502237163225044,0.6558388340040536
5,0.23421952892449488,0.40339320915890764,0.12929093473371933,0.08837714676236867,0.14471918042050957,0.09159749705328135,0.1637037788684192,0.568688098252063,0.09422673176381591,0.006,0.58093059812315,0.007650851103217267,0.5564378686310234,0.6026648039737319,0.5644374838657941,0.568688098252063,0.5709605161613311,0.5755150797939732,0.5809538495715418,0.5863800479345654,0.5906231264200317,0.5934958133212203,0.5983904542688321
6,0.13511575926339486,0.17369624468356834,0.2827399423967997,0.19245917190544579,0.2159888817507912,0.08975899341680887,0.15341185801534804,0.5531387557448473,0.09204881359311856,0.0,0.565961988902573,0.007647182153750932,0.539359179382596,0.5892882290512429,0.5491058587267227,0.5531387557448473,0.5564827356253803,0.561017667533516,0.5657905830460174,0.5709017562668666,0.5758106806428199,0.5786362964511482,0.5848112207722718
7,0.004829413918389822,0.019617314656309077,0.9257041503508069,0.047413194321834544,0.002435926752659761,0.11105730415347152,0.2633919380626821,0.7126507465366176,0.11361163973423882,1.0,0.7422533093519533,0.01815370863145189,0.6786113698122429,0.79481364051819,0.7005234618617292,0.7126507465366176,0.7195987449956408,0.7297334431580536,0.7416461248992108,0.7546282598473454,0.763937063386452,0.7723081828368311,0.7882766713532036
8,0.09802134327758642,0.255293476944569,0.31633612100197295,0.09055811227553341,0.23979094650033808,0.09481350140542617,0.1741254703353401,0.591094369506772,0.09733488967118142,0.74,0.6059080953701911,0.0088116819986963,0.5795806407998434,0.630784496731932,0.5849465917592774,0.591094369506772,0.5946603396861072,0.5997634032641714,0.606361552874349,0.6118992304807747,0.6173019010433644,0.6205652654304311,0.6251460325413604
9,0.0467487936809904,0.06607154040425098,0.007818462084879541,0.3277001962487826,0.5516610075810966,0.07591644065773669,0.1071798158334139,0.4557725844861747,0.07799986701091033,0.0,0.4615415687443355,0.0035891952682488935,0.4513843067026646,0.4719110986264703,0.4529399633619655,0.4557725844861747,0.45693187681321495,0.4591634460507582,0.4616515233974289,0.46383691294376744,0.46598610648173805,0.4675531759488308,0.4700007631695465
10,0.04404480028706797,0.3684749547566478,0.2896732069220125,0.1014687180233031,0.19633832001096863,0.09311618586487234,0.1750196055135013,0.5788525072116887,0.09564109232032658,0.195,0.5927199507053431,0.008752372057757004,0.5656589762584487,0.632066824147524,0.5714646532430806,0.5788525072116887,0.5817907569160305,0.5867317827771672,0.592677930219231,0.5986048346700792,0.6040459267898965,0.6070818035929707,0.6131815089396121
11,0.012883388285548095,0.33468156910760133,0.47008403589443404,0.05175460427862652,0.13059640243378998,0.09955197758767813,0.20534177866808337,0.626190912969062,0.10213376077312852,1.0,0.6448268080084795,0.011664873127218752,0.6084271641256391,0.6870986284478602,0.6201270917614923,0.626190912969062,0.6297989827280729,0.6370318576209273,0.6442786429149773,0.652519944696208,0.6602975875068665,0.6644688501069346,0.6739888600259091
12,0.11623152938564911,0.1347317413432864,0.20943697383532894,0.00041122659997591844,0.5391885288357596,0.0963797344427408,0.16728541666040259,0.6058313621105288,0.0993601415086447,0.991,0.6186151153477351,0.007763120048462939,0.5930385084289387,0.6395457252357586,0.6009246772900394,0.6058313621105288,0.6085265782496492,0.6132648797904923,0.6187943298827955,0.6239889437831128,0.6288134979744663,0.6315496999558593,0.6363067750209581
13,0.15652961534242127,0.05376221809123007,0.27231188478857515,0.11478655888886653,0.40260972288890706,0.09320769812313962,0.15653653791849104,0.5808127204312488,0.09591301441023026,0.212,0.5938266343119019,0.007539212494009689,0.5704236205329107,0.6181303519849419,0.575978027531576,0.5808127204312488,0.5845861068700878,0.5889188495686448,0.5935430729613281,0.5989532147399221,0.6037023993763097,0.6058596340598262,0.6109394849946269
14,0.028746249628489436,0.2812634736073825,0.23877713802267253,0.36126808241236746,0.0899450563290881,0.07999982723829517,0.13194215801760797,0.48020728586921285,0.08159459297738092,0.0,0.49148724949421796,0.006740466550367036,0.469956897943983,0.5163199846288946,0.4758291823790725,0.48020728586921285,0.4826559554078823,0.48709015759480623,0.4916254460309104,0.495898686279588,0.49976608593453936,0.5026228793724022,0.5080929332555517
15,0.2846545488317317,0.11314573159811121,0.0011253131431044874,0.1537313519322087,0.4473430544948438,0.08595676747994553,0.1300444829762737,0.5284488583996921,0.08855451227839839,0.0,0.5369024727786725,0.005047618786783579,0.5178014117631533,0.5511922364766682,0.524871360553407,0.5284488583996921,0.5303006211752773,0.5333590250662273,0.5369510657756423,0.5404066505750216,0.5434317973108759,0.5448186027217916,0.5480493189189444
16,0.3066256642700003,0.14303553029748434,0.25061438648905154,0.013905450877337385,0.28581896806612633,0.0987058710154461,0.17490805360279474,0.6231617214117119,0.10172285395821867,1.0,0.6377963982961922,0.008973180493575704,0.6044245590138724,0.6688716578055995,0.6178328860490235,0.6231617214117119,0.6260246460641306,0.6314637361549207,0.6380750233185952,0.6444022710163455,0.6490617314574907,0.6521970730925549,0.6571539864664189
17,0.2976184951722143,0.2884302476346971,0.06412732379960918,0.3445738978360752,0.0052500355574042895,0.07907354264408899,0.12006291373232063,0.4763213891092104,0.08102610700341595,0.0,0.48471537321273533,0.004985663935469133,0.47097273128265615,0.49933752756162764,0.4739310199323026,0.4763213891092104,0.47819107778264064,0.48109751594038924,0.4847608523846354,0.48826162128788425,0.491151819221363,0.4930557023135025,0.49557435888565204
